cluster,player,playerId,season,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age
16,John Drew,drewjo01,1980,0.45,0.00,0.76,5.89,1.26,1.14,0.29,3.00,19.49,25
16,Marques Johnson,johnsma01,1980,0.54,0.03,0.79,7.35,3.55,1.30,0.91,2.40,21.70,23
16,Bob McAdoo*,mcadobo01,1980,0.48,0.05,0.73,8.05,3.45,1.26,1.12,4.10,21.07,28
16,Mike Mitchell,mitchmi01,1980,0.52,0.00,0.79,7.21,1.13,0.85,0.94,2.10,22.20,24
16,Jamaal Wilkes*,wilkeja01,1980,0.54,0.04,0.81,6.40,3.05,1.57,0.34,1.91,20.05,26
16,Bill Cartwright,cartwbi01,1981,0.55,0.00,0.79,7.48,1.35,0.59,1.01,2.44,20.07,23
16,John Drew,drewjo01,1981,0.46,0.00,0.79,5.72,1.18,1.46,0.22,2.90,21.70,26
16,Alex English*,englial01,1981,0.49,0.04,0.85,7.98,3.58,1.31,1.23,2.98,23.81,27
16,Dan Issel*,isselda01,1981,0.50,0.03,0.76,8.45,1.98,1.04,0.66,1.63,21.86,32
16,Marques Johnson,johnsma01,1981,0.55,0.00,0.71,6.82,4.55,1.51,0.54,2.50,20.28,24
16,Bernard King*,kingbe01,1981,0.59,0.02,0.70,6.80,3.54,0.89,0.42,3.27,21.86,24
16,Cliff Robinson,robincl01,1981,0.49,0.02,0.72,7.63,1.67,0.92,0.83,2.89,19.51,20
16,Jamaal Wilkes*,wilkeja01,1981,0.53,0.01,0.76,5.37,2.90,1.49,0.36,2.56,22.56,27
16,Dan Issel*,isselda01,1982,0.53,0.05,0.83,7.51,2.21,0.83,0.68,2.09,22.86,33
16,Mike Mitchell,mitchmi01,1982,0.51,0.00,0.73,7.02,0.98,0.71,0.51,1.82,20.55,26
16,Sidney Moncrief,moncrsi01,1982,0.52,0.01,0.82,6.68,4.78,1.73,0.28,2.60,19.76,24
16,Kelly Tripucka,tripuke01,1982,0.50,0.06,0.80,5.40,3.29,1.09,0.20,3.41,21.61,22
16,Kiki Vandeweghe,vandeki01,1982,0.56,0.01,0.86,5.62,3.01,0.63,0.35,2.30,21.46,23
16,Jay Vincent,vinceja01,1982,0.50,0.01,0.72,6.98,2.17,1.10,0.27,2.40,21.38,22
16,Kareem Abdul-Jabbar*,abdulka01,1983,0.59,0.00,0.75,7.49,2.53,0.77,2.15,2.53,21.80,35
16,John Drew,drewjo01,1983,0.47,0.00,0.76,5.34,2.20,0.80,0.16,3.07,21.18,28
16,Julius Erving*,ervinju01,1983,0.52,0.03,0.76,6.82,3.65,1.56,1.82,2.72,21.42,32
16,Dan Issel*,isselda01,1983,0.51,0.05,0.84,7.45,2.79,1.04,0.54,2.18,21.58,34
16,Eddie Johnson,johnsed03,1983,0.49,0.24,0.78,6.11,2.63,0.85,0.24,2.21,19.77,23
16,Marques Johnson,johnsma01,1983,0.51,0.05,0.74,7.03,4.54,1.25,0.70,2.45,21.43,26
16,Bernard King*,kingbe01,1983,0.53,0.00,0.72,4.79,2.87,1.32,0.19,2.90,21.85,26
16,Mike Mitchell,mitchmi01,1983,0.51,0.00,0.76,6.71,1.23,0.71,0.65,1.58,19.89,27
16,Sidney Moncrief,moncrsi01,1983,0.52,0.01,0.83,5.75,3.95,1.49,0.30,2.59,22.53,25
16,Calvin Natt,nattca01,1983,0.54,0.04,0.79,7.49,2.14,0.79,0.36,2.54,20.38,26
16,Purvis Short,shortpu01,1983,0.49,0.06,0.83,5.28,3.40,1.40,0.21,2.90,21.45,25
16,Kareem Abdul-Jabbar*,abdulka01,1984,0.58,0.00,0.72,7.34,2.64,0.69,1.79,2.76,21.46,36
16,Joe Barry Carroll,carrojo01,1984,0.48,0.00,0.72,7.95,2.48,1.29,1.78,3.35,20.49,25
16,Julius Erving*,ervinju01,1984,0.51,0.09,0.75,6.91,4.01,1.83,1.81,2.99,22.43,33
16,Dan Issel*,isselda01,1984,0.49,0.05,0.85,6.75,2.28,0.79,0.58,1.61,19.82,35
16,Eddie Johnson,johnsed03,1984,0.49,0.24,0.81,5.55,3.61,0.93,0.26,2.60,21.88,24
16,Marques Johnson,johnsma01,1984,0.50,0.03,0.71,6.49,4.26,1.55,0.61,2.43,20.74,27
16,Mike Mitchell,mitchmi01,1984,0.49,0.08,0.78,7.22,1.18,0.78,0.92,1.78,23.28,28
16,Sidney Moncrief,moncrsi01,1984,0.50,0.06,0.85,6.68,4.53,1.37,0.34,2.75,20.94,26
16,Dominique Wilkins*,wilkido01,1984,0.48,0.00,0.77,7.19,1.56,1.44,1.07,2.65,21.60,24
16,Kareem Abdul-Jabbar*,abdulka01,1985,0.60,0.00,0.73,7.87,3.15,0.80,2.05,2.49,21.96,37
16,Tom Chambers,chambto01,1985,0.48,0.07,0.83,7.15,2.58,0.86,0.70,3.21,21.47,25
16,Mike Mitchell,mitchmi01,1985,0.50,0.06,0.78,5.09,1.84,0.74,0.33,1.76,22.24,29
16,Calvin Natt,nattca01,1985,0.55,0.00,0.79,7.82,3.05,0.96,0.42,2.44,23.29,28
16,Derek Smith,smithde02,1985,0.54,0.04,0.79,5.34,2.70,0.96,0.65,2.88,22.09,23
16,Orlando Woolridge,woolror01,1985,0.55,0.00,0.79,5.65,1.75,0.75,0.49,2.31,22.95,25
16,Mark Aguirre,aguirma01,1986,0.50,0.22,0.71,6.01,4.58,0.84,0.19,3.41,22.57,26
16,Joe Barry Carroll,carrojo01,1986,0.46,0.00,0.75,8.48,2.23,1.28,1.81,3.48,21.23,27
16,Terry Cummings,cummite01,1986,0.47,0.00,0.66,8.46,2.35,1.48,0.62,2.33,19.84,24
16,Roy Hinson,hinsoro01,1986,0.53,0.00,0.72,7.79,1.24,0.76,1.37,2.29,19.59,24
16,Kevin McHale*,mchalke01,1986,0.57,0.00,0.78,8.10,2.66,0.43,1.97,2.19,21.29,28
16,Larry Nance,nancela01,1986,0.58,0.00,0.70,8.47,3.29,0.96,1.78,2.88,20.19,26
16,Joe Barry Carroll,carrojo01,1987,0.47,0.00,0.79,7.27,2.64,1.14,1.52,2.79,21.23,28
16,Tom Chambers,chambto01,1987,0.46,0.66,0.85,6.65,2.99,0.99,0.61,3.27,23.28,27
16,Terry Cummings,cummite01,1987,0.51,0.00,0.66,8.54,2.79,1.57,0.99,2.10,20.82,25
16,Patrick Ewing*,ewingpa01,1987,0.50,0.00,0.71,8.81,1.65,1.41,2.33,3.63,21.52,24
16,Xavier McDaniel,mcdanxa01,1987,0.51,0.04,0.70,8.60,2.52,1.40,0.63,2.85,23.05,23
16,Larry Nance,nancela01,1987,0.55,0.01,0.77,8.68,3.38,1.25,2.14,2.16,22.49,27
16,Thurl Bailey,baileth01,1988,0.49,0.01,0.83,6.48,1.93,0.60,1.52,2.32,19.56,26
16,Tom Chambers,chambto01,1988,0.45,0.40,0.81,5.98,2.59,1.06,0.65,2.55,20.41,28
16,Terry Cummings,cummite01,1988,0.49,0.01,0.67,7.28,2.38,1.03,0.61,2.24,21.33,26
16,Xavier McDaniel,mcdanxa01,1988,0.49,0.18,0.72,6.64,3.37,1.23,0.67,2.86,21.40,24
16,Kevin McHale*,mchalke01,1988,0.60,0.00,0.80,8.38,2.67,0.42,1.44,2.20,22.59,30
16,Terry Cummings,cummite01,1989,0.47,0.09,0.79,8.13,2.48,1.33,0.90,2.51,22.86,27
16,Kevin McHale*,mchalke01,1989,0.55,0.00,0.82,8.17,2.21,0.33,1.24,2.51,22.54,31
16,Chuck Person,persoch01,1989,0.49,0.79,0.79,6.45,3.61,1.04,0.23,3.85,21.60,24
16,Mitch Richmond*,richmmi01,1989,0.47,0.42,0.81,5.92,4.23,1.04,0.16,3.41,22.04,23
16,James Worthy*,worthja01,1989,0.55,0.02,0.78,6.04,3.56,1.33,0.69,2.25,20.46,27
16,Terry Cummings,cummite01,1990,0.48,0.23,0.78,8.36,2.70,1.36,0.64,2.49,22.44,28
16,Xavier McDaniel,mcdanxa01,1990,0.50,0.07,0.73,6.48,2.48,1.06,0.52,2.71,21.32,26
16,Kevin McHale*,mchalke01,1990,0.55,0.28,0.89,8.26,2.10,0.37,1.91,2.23,20.88,32
16,Charles Smith,smithch01,1990,0.52,0.01,0.79,6.72,1.46,1.10,1.53,2.08,21.09,24
16,Wayman Tisdale,tisdawa01,1990,0.53,0.00,0.78,7.53,1.37,0.68,0.68,1.94,22.25,25
16,James Worthy*,worthja01,1990,0.55,0.19,0.78,5.98,3.60,1.24,0.61,2.00,21.06,28
16,Tom Chambers,chambto01,1991,0.44,0.26,0.83,6.45,2.55,0.86,0.68,2.33,19.88,31
16,Charles Smith,smithch01,1991,0.47,0.00,0.79,8.22,1.81,1.09,1.96,2.23,20.00,25
16,Wayman Tisdale,tisdawa01,1991,0.48,0.00,0.80,7.67,2.00,0.70,0.85,2.48,20.00,26
16,Nick Anderson,anderni01,1992,0.46,0.50,0.67,6.40,2.72,1.62,0.55,2.10,19.93,24
16,Danny Manning,mannida01,1992,0.54,0.00,0.73,6.88,3.48,1.65,1.49,2.56,19.26,25
